title,totalScore,reviewsCount,street,city,state,postalCode,countryCode,website,phone,email,emails,categories,categoryName,plusCode,url,fullAddress,placeId,searchString
Maria Mateo PC,4.8,,,,,,US,,,,[],"[""Divorce lawyer""]",Divorce lawyer,,https://www.google.com/maps/place/Maria+Mateo+PC/data=!4m7!3m6!1s0x89c25e20d3ed9fef:0xca4fd058f294d90c!8m2!3d40.711914!4d-73.826364!16s%2Fg%2F1td2159q!19sChIJ75_t0yBewokRDNmU8ljQT8o?authuser=0&hl=en&rclk=1,,0x89c25e20d3ed9fef:0xca4fd058f294d90c,law fims
"Raphaelson & Levine Law Firm, P.C.",,,,,,,US,,,,[],[],,,"https://www.google.com/maps/place/Raphaelson+%26+Levine+Law+Firm,+P.C./data=!4m7!3m6!1s0x89c259add357548f:0xeaf6e4ad2a5f8043!8m2!3d40.7517816!4d-73.9918095!16s%2Fg%2F1vtqx04l!19sChIJj1RX061ZwokRQ4BfKq3k9uo?authuser=0&hl=en&rclk=1",,0x89c259add357548f:0xeaf6e4ad2a5f8043,law fims
"ILGANAYEV LAW FIRM, PLLC",5.0,,,,,,US,,,,[],"[""Law firm""]",Law firm,,"https://www.google.com/maps/place/ILGANAYEV+LAW+FIRM,+PLLC/data=!4m7!3m6!1s0x89c25a186b2f5b85:0x59ea9bd9de257987!8m2!3d40.7104617!4d-74.0077673!16s%2Fg%2F11c6ppq56v!19sChIJhVsvaxhawokRh3kl3tmb6lk?authuser=0&hl=en&rclk=1",,0x89c25a186b2f5b85:0x59ea9bd9de257987,law fims
Romano Law,4.9,,,,,,US,,,,[],"[""Law firm""]",Law firm,,https://www.google.com/maps/place/Romano+Law/data=!4m7!3m6!1s0x89c25a16a2cfaec5:0xdcdc988edead8318!8m2!3d40.7033758!4d-74.0138065!16s%2Fg%2F1hhwh83h5!19sChIJxa7PohZawokRGIOt3o6Y3Nw?authuser=0&hl=en&rclk=1,,0x89c25a16a2cfaec5:0xdcdc988edead8318,law fims
The Law Office of Richard M. Kenny,,,,,,,US,,,,[],[],,,https://www.google.com/maps/place/The+Law+Office+of+Richard+M.+Kenny/data=!4m7!3m6!1s0x89c259af2c39895d:0x66a37069fbab00ed!8m2!3d40.7484743!4d-73.9920519!16s%2Fg%2F1td1wc4v!19sChIJXYk5LK9ZwokR7QCr-2lwo2Y?authuser=0&hl=en&rclk=1,,0x89c259af2c39895d:0x66a37069fbab00ed,law fims
Weitz & Luxenberg NYC,4.8,,,,,,US,,,,[],"[""Law firm""]",Law firm,,https://www.google.com/maps/place/Weitz+%26+Luxenberg+NYC/data=!4m7!3m6!1s0x89c25b45cb767ac9:0xf191a99e16690546!8m2!3d40.7284098!4d-73.9937922!16s%2Fg%2F11g22zwcj0!19sChIJyXp2y0VbwokRRgVpFp6pkfE?authuser=0&hl=en&rclk=1,,0x89c25b45cb767ac9:0xf191a99e16690546,law fims
The Rothenberg Law Firm Accident And Injury Lawyers,,,,,,,US,,,,[],[],,,https://www.google.com/maps/place/The+Rothenberg+Law+Firm+Accident+And+Injury+Lawyers/data=!4m7!3m6!1s0x89c259ac20927379:0x2fcfcbe700f8b88b!8m2!3d40.7514675!4d-73.9905644!16s%2Fg%2F1ptyn_p30!19sChIJeXOSIKxZwokRi7j4AOfLzy8?authuser=0&hl=en&rclk=1,,0x89c259ac20927379:0x2fcfcbe700f8b88b,law fims
NYIS Law Firm,4.9,,,,,,US,,,,[],"[""Law firm""]",Law firm,,https://www.google.com/maps/place/NYIS+Law+Firm/data=!4m7!3m6!1s0x89c260102910c3c3:0x49e6ad0fb909191f!8m2!3d40.713638!4d-74.0087211!16s%2Fg%2F11g9dpszr0!19sChIJw8MQKRBgwokRHxkJuQ-t5kk?authuser=0&hl=en&rclk=1,,0x89c260102910c3c3:0x49e6ad0fb909191f,law fims
Cohan Law Firm - New York City Injury & Accident Lawyer,,,,,,,US,,,,[],[],,,https://www.google.com/maps/place/Cohan+Law+Firm+-+New+York+City+Injury+%26+Accident+Lawyer/data=!4m7!3m6!1s0x89c259a79d0d4a0b:0x1b24939d19a6c90e!8m2!3d40.7429491!4d-73.983881!16s%2Fg%2F11cmg8yv0d!19sChIJC0oNnadZwokRDsmmGZ2TJBs?authuser=0&hl=en&rclk=1,,0x89c259a79d0d4a0b:0x1b24939d19a6c90e,law fims
Robison Lemon Law Group LLC,4.8,,,,,,US,,,,[],"[""Law firm""]",Law firm,,https://www.google.com/maps/place/Robison+Lemon+Law+Group+LLC/data=!4m7!3m6!1s0x89c2596091e1da8f:0xff4961de0b62fe18!8m2!3d40.745964!4d-73.986906!16s%2Fg%2F11gmbj3st1!19sChIJj9rhkWBZwokRGP5iC95hSf8?authuser=0&hl=en&rclk=1,,0x89c2596091e1da8f:0xff4961de0b62fe18,law fims
"Hansen & Rosasco, LLP",,,,,,,US,,,,[],[],,,"https://www.google.com/maps/place/Hansen+%26+Rosasco,+LLP/data=!4m7!3m6!1s0x89c258fd4c560355:0x95321b52881207ae!8m2!3d40.7130079!4d-74.0078212!16s%2Fg%2F11cm0klz_n!19sChIJVQNWTP1YwokRrgcSiFIbMpU?authuser=0&hl=en&rclk=1",,0x89c258fd4c560355:0x95321b52881207ae,law fims
"The Shapiro Law Firm, LLC",5.0,,,,,,US,,,,[],"[""Law firm""]",Law firm,,"https://www.google.com/maps/place/The+Shapiro+Law+Firm,+LLC/data=!4m7!3m6!1s0x89c25a115e75b665:0xb82e370019e1e7e0!8m2!3d40.7062458!4d-74.0174903!16s%2Fg%2F113fkpzjr!19sChIJZbZ1XhFawokR4OfhGQA3Lrg?authuser=0&hl=en&rclk=1",,0x89c25a115e75b665:0xb82e370019e1e7e0,law fims
